risk_cid,interv_cid,risk_name,interv_name,interv_type,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost
27.0,9.0,Uncontrolled Recursive Self-Improvement Explosion,Choose robust model architectures at design time,technical,0,0,7,0
29.0,27.0,AI-driven wealth and power concentration,KL-Regularized RLHF Fine-Tuning,technical,0,0,7,0
30.0,13.0,Existential catastrophe and human extinction risks,Multi-objective recommender ranking with safety penalties,technical,0,0,6,0
14.0,36.0,Unsafe AI Decisions in High-Stakes Settings,Robustness-Oriented Training Data Augmentation,technical,0,0,6,0
19.0,36.0,Misaligned AI takeover and human disempowerment,Robustness-Oriented Training Data Augmentation,technical,0,0,6,0
10.0,36.0,Existential catastrophe from misaligned AI,Robustness-Oriented Training Data Augmentation,technical,0,0,166,0
11.0,37.0,Misforecasted AI Timelines Undermining Safety Preparedness,ROME-based factual knowledge editing,technical,0,0,8,0
28.0,21.0,Algorithmic discrimination in high-stakes decisions,Formal Verification for Pre-Deployment AI Safety,technical,0,0,7,0
37.0,2.0,AI-driven labor displacement and socioeconomic instability,MCTS-Guided RL Planning and Training,technical,0,0,6,0
23.0,27.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,KL-Regularized RLHF Fine-Tuning,technical,0,0,6,0
30.0,33.0,Existential catastrophe and human extinction risks,Deployment-time prompt engineering for aligned behavior,technical,0,0,8,0
5.0,12.0,Compute and data inefficiency in AI training,Pre-deployment bias auditing and fairness mitigation,governance,0,0,5,0
1.0,9.0,Malicious misuse of frontier AI for large-scale harm,Choose robust model architectures at design time,technical,0,0,33,0
5.0,28.0,Compute and data inefficiency in AI training,International treaty banning autonomous weapons,governance,0,0,5,0
31.0,9.0,Undetected unsafe behavior in deployed AI systems,Choose robust model architectures at design time,technical,0,0,1,0
29.0,0.0,AI-driven wealth and power concentration,Training-time regularization for robust generalization,technical,0,0,2,0
8.0,37.0,Human-AI Coordination Failure in Shared Environments,ROME-based factual knowledge editing,technical,0,0,2,0
23.0,9.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Choose robust model architectures at design time,technical,0,0,2,0
34.0,36.0,Instrumental power-seeking by advanced AI agents,Robustness-Oriented Training Data Augmentation,technical,0,0,2,0
23.0,2.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,MCTS-Guided RL Planning and Training,technical,0,0,2,0
29.0,29.0,AI-driven wealth and power concentration,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,2,0
29.0,33.0,AI-driven wealth and power concentration,Deployment-time prompt engineering for aligned behavior,technical,0,0,2,0
32.0,22.0,AI shutdown resistance and control loss,Deployment-time confidence filtering and rejection sampling,technical,0,0,2,0
39.0,39.0,Bias-Driven Progress Distortion and Stagnation,Export controls on advanced AI hardware,governance,0,0,2,0
29.0,13.0,AI-driven wealth and power concentration,Multi-objective recommender ranking with safety penalties,technical,0,0,2,0
23.0,12.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Pre-deployment bias auditing and fairness mitigation,governance,0,0,2,0
30.0,37.0,Existential catastrophe and human extinction risks,ROME-based factual knowledge editing,technical,0,0,1,0
27.0,21.0,Uncontrolled Recursive Self-Improvement Explosion,Formal Verification for Pre-Deployment AI Safety,technical,0,0,1,0
23.0,25.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Explainable decision support with uncertainty and counterfactuals,technical,0,0,3,0
23.0,28.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,International treaty banning autonomous weapons,governance,0,0,1,0
39.0,0.0,Bias-Driven Progress Distortion and Stagnation,Training-time regularization for robust generalization,technical,0,0,1,0
39.0,12.0,Bias-Driven Progress Distortion and Stagnation,Pre-deployment bias auditing and fairness mitigation,governance,0,0,1,0
32.0,36.0,AI shutdown resistance and control loss,Robustness-Oriented Training Data Augmentation,technical,0,0,1,0
39.0,37.0,Bias-Driven Progress Distortion and Stagnation,ROME-based factual knowledge editing,technical,0,0,1,0
39.0,28.0,Bias-Driven Progress Distortion and Stagnation,International treaty banning autonomous weapons,governance,0,0,1,0
39.0,33.0,Bias-Driven Progress Distortion and Stagnation,Deployment-time prompt engineering for aligned behavior,technical,0,0,1,0
30.0,22.0,Existential catastrophe and human extinction risks,Deployment-time confidence filtering and rejection sampling,technical,0,0,1,0
23.0,31.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Human-AI collaboration tools for skill building,technical,0,0,1,0
29.0,9.0,AI-driven wealth and power concentration,Choose robust model architectures at design time,technical,0,0,1,0
28.0,37.0,Algorithmic discrimination in high-stakes decisions,ROME-based factual knowledge editing,technical,0,0,1,0
28.0,22.0,Algorithmic discrimination in high-stakes decisions,Deployment-time confidence filtering and rejection sampling,technical,0,0,1,0
33.0,2.0,AI-driven personal data privacy breaches,MCTS-Guided RL Planning and Training,technical,0,0,2,0
29.0,18.0,AI-driven wealth and power concentration,Critique-guided fine-tuning and human feedback,technical,0,0,3,0
33.0,27.0,AI-driven personal data privacy breaches,KL-Regularized RLHF Fine-Tuning,technical,0,0,5,0
8.0,9.0,Human-AI Coordination Failure in Shared Environments,Choose robust model architectures at design time,technical,0,0,4,0
24.0,34.0,Objective Misspecification and Misaligned Optimization,Large-scale pretraining before task fine-tuning,technical,0,0,5,0
10.0,9.0,Existential catastrophe from misaligned AI,Choose robust model architectures at design time,technical,0,0,172,0
34.0,34.0,Instrumental power-seeking by advanced AI agents,Large-scale pretraining before task fine-tuning,technical,0,0,5,0
28.0,2.0,Algorithmic discrimination in high-stakes decisions,MCTS-Guided RL Planning and Training,technical,0,0,5,0
39.0,38.0,Bias-Driven Progress Distortion and Stagnation,Incentivized AI forecasting and prediction systems,technical,0,0,5,0
15.0,34.0,Opaque AI decision-making undermines oversight and safety,Large-scale pretraining before task fine-tuning,technical,0,0,5,0
30.0,21.0,Existential catastrophe and human extinction risks,Formal Verification for Pre-Deployment AI Safety,technical,0,0,5,0
37.0,9.0,AI-driven labor displacement and socioeconomic instability,Choose robust model architectures at design time,technical,0,0,5,0
38.0,1.0,Catastrophic AGI Misalignment Risk,Continuous anomaly monitoring and safety tripwires,technical,0,0,187,0
32.0,37.0,AI shutdown resistance and control loss,ROME-based factual knowledge editing,technical,0,0,4,0
10.0,12.0,Existential catastrophe from misaligned AI,Pre-deployment bias auditing and fairness mitigation,governance,0,0,205,0
31.0,12.0,Undetected unsafe behavior in deployed AI systems,Pre-deployment bias auditing and fairness mitigation,governance,0,0,4,0
27.0,13.0,Uncontrolled Recursive Self-Improvement Explosion,Multi-objective recommender ranking with safety penalties,technical,0,0,4,0
33.0,29.0,AI-driven personal data privacy breaches,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,3,0
33.0,28.0,AI-driven personal data privacy breaches,International treaty banning autonomous weapons,governance,0,0,4,0
29.0,25.0,AI-driven wealth and power concentration,Explainable decision support with uncertainty and counterfactuals,technical,0,0,4,0
29.0,36.0,AI-driven wealth and power concentration,Robustness-Oriented Training Data Augmentation,technical,0,0,4,0
5.0,22.0,Compute and data inefficiency in AI training,Deployment-time confidence filtering and rejection sampling,technical,0,0,4,0
32.0,9.0,AI shutdown resistance and control loss,Choose robust model architectures at design time,technical,0,0,4,0
25.0,0.0,Misaligned Superintelligent AI Existential Risk,Training-time regularization for robust generalization,technical,0,0,263,0
38.0,36.0,Catastrophic AGI Misalignment Risk,Robustness-Oriented Training Data Augmentation,technical,0,0,4,0
23.0,29.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,3,0
33.0,13.0,AI-driven personal data privacy breaches,Multi-objective recommender ranking with safety penalties,technical,0,0,3,0
39.0,17.0,Bias-Driven Progress Distortion and Stagnation,Runtime control and coordination modules,technical,0,0,3,0
31.0,33.0,Undetected unsafe behavior in deployed AI systems,Deployment-time prompt engineering for aligned behavior,technical,0,0,3,0
23.0,0.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Training-time regularization for robust generalization,technical,0,0,3,0
28.0,28.0,Algorithmic discrimination in high-stakes decisions,International treaty banning autonomous weapons,governance,0,0,8,0
11.0,22.0,Misforecasted AI Timelines Undermining Safety Preparedness,Deployment-time confidence filtering and rejection sampling,technical,0,0,11,0
29.0,19.0,AI-driven wealth and power concentration,Demonstration-Based Policy Pretraining,governance,0,0,8,0
34.0,2.0,Instrumental power-seeking by advanced AI agents,MCTS-Guided RL Planning and Training,technical,0,0,21,0
18.0,9.0,Catastrophic Superintelligent AI Misalignment,Choose robust model architectures at design time,technical,0,0,24,0
4.0,12.0,Unsafe and Sample-Inefficient RL Exploration,Pre-deployment bias auditing and fairness mitigation,governance,0,0,24,0
1.0,13.0,Malicious misuse of frontier AI for large-scale harm,Multi-objective recommender ranking with safety penalties,technical,0,0,54,0
4.0,33.0,Unsafe and Sample-Inefficient RL Exploration,Deployment-time prompt engineering for aligned behavior,technical,0,0,22,0
4.0,31.0,Unsafe and Sample-Inefficient RL Exploration,Human-AI collaboration tools for skill building,technical,0,0,22,0
16.0,36.0,Insufficient AI safety research capacity,Robustness-Oriented Training Data Augmentation,technical,0,0,22,0
27.0,26.0,Uncontrolled Recursive Self-Improvement Explosion,Reward-guided RL fine-tuning with safety constraints,technical,0,0,56,0
1.0,36.0,Malicious misuse of frontier AI for large-scale harm,Robustness-Oriented Training Data Augmentation,technical,0,0,58,0
23.0,6.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,PGD Adversarial Training for Robust Fine-Tuning,technical,0,0,21,0
5.0,32.0,Compute and data inefficiency in AI training,Attainable Utility Preservation reward penalty,technical,0,0,21,0
27.0,25.0,Uncontrolled Recursive Self-Improvement Explosion,Explainable decision support with uncertainty and counterfactuals,technical,0,0,21,0
11.0,2.0,Misforecasted AI Timelines Undermining Safety Preparedness,MCTS-Guided RL Planning and Training,technical,0,0,21,0
19.0,2.0,Misaligned AI takeover and human disempowerment,MCTS-Guided RL Planning and Training,technical,0,0,20,0
37.0,21.0,AI-driven labor displacement and socioeconomic instability,Formal Verification for Pre-Deployment AI Safety,technical,0,0,8,0
35.0,9.0,Advanced AI value misalignment risk,Choose robust model architectures at design time,technical,0,0,20,0
27.0,1.0,Uncontrolled Recursive Self-Improvement Explosion,Continuous anomaly monitoring and safety tripwires,technical,0,0,60,0
28.0,38.0,Algorithmic discrimination in high-stakes decisions,Incentivized AI forecasting and prediction systems,technical,0,0,60,0
1.0,37.0,Malicious misuse of frontier AI for large-scale harm,ROME-based factual knowledge editing,technical,0,0,20,0
25.0,22.0,Misaligned Superintelligent AI Existential Risk,Deployment-time confidence filtering and rejection sampling,technical,0,0,62,0
11.0,13.0,Misforecasted AI Timelines Undermining Safety Preparedness,Multi-objective recommender ranking with safety penalties,technical,0,0,19,0
27.0,2.0,Uncontrolled Recursive Self-Improvement Explosion,MCTS-Guided RL Planning and Training,technical,0,0,19,0
30.0,29.0,Existential catastrophe and human extinction risks,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,19,0
27.0,18.0,Uncontrolled Recursive Self-Improvement Explosion,Critique-guided fine-tuning and human feedback,technical,0,0,19,0
37.0,1.0,AI-driven labor displacement and socioeconomic instability,Continuous anomaly monitoring and safety tripwires,technical,0,0,62,0
37.0,27.0,AI-driven labor displacement and socioeconomic instability,KL-Regularized RLHF Fine-Tuning,technical,0,0,19,0
19.0,9.0,Misaligned AI takeover and human disempowerment,Choose robust model architectures at design time,technical,0,0,19,0
5.0,1.0,Compute and data inefficiency in AI training,Continuous anomaly monitoring and safety tripwires,technical,0,0,24,0
19.0,0.0,Misaligned AI takeover and human disempowerment,Training-time regularization for robust generalization,technical,0,0,51,0
21.0,36.0,Catastrophic AI misalignment and loss of control,Robustness-Oriented Training Data Augmentation,technical,0,0,25,0
12.0,9.0,Catastrophic risks from misaligned advanced AI,Choose robust model architectures at design time,technical,0,0,25,0
37.0,38.0,AI-driven labor displacement and socioeconomic instability,Incentivized AI forecasting and prediction systems,technical,0,0,32,0
5.0,39.0,Compute and data inefficiency in AI training,Export controls on advanced AI hardware,governance,0,0,32,0
30.0,25.0,Existential catastrophe and human extinction risks,Explainable decision support with uncertainty and counterfactuals,technical,0,0,32,0
7.0,21.0,Human extinction from misaligned superintelligent AI,Formal Verification for Pre-Deployment AI Safety,technical,0,0,32,0
5.0,38.0,Compute and data inefficiency in AI training,Incentivized AI forecasting and prediction systems,technical,0,0,34,0
18.0,2.0,Catastrophic Superintelligent AI Misalignment,MCTS-Guided RL Planning and Training,technical,0,0,32,0
38.0,9.0,Catastrophic AGI Misalignment Risk,Choose robust model architectures at design time,technical,0,0,35,0
17.0,29.0,Adversarial Image Classification Misclassification,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,31,0
23.0,5.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Pre-deployment adversarial red-teaming and robustness testing,technical,0,0,36,0
34.0,0.0,Instrumental power-seeking by advanced AI agents,Training-time regularization for robust generalization,technical,0,0,36,0
28.0,19.0,Algorithmic discrimination in high-stakes decisions,Demonstration-Based Policy Pretraining,governance,0,0,30,0
7.0,36.0,Human extinction from misaligned superintelligent AI,Robustness-Oriented Training Data Augmentation,technical,0,0,39,0
31.0,10.0,Undetected unsafe behavior in deployed AI systems,Governed AI oversight and compliance regimes,governance,0,0,39,0
7.0,13.0,Human extinction from misaligned superintelligent AI,Multi-objective recommender ranking with safety penalties,technical,0,0,39,0
37.0,19.0,AI-driven labor displacement and socioeconomic instability,Demonstration-Based Policy Pretraining,governance,0,0,40,0
37.0,15.0,AI-driven labor displacement and socioeconomic instability,Pre-deployment mechanistic interpretability audits,governance,0,0,42,0
31.0,38.0,Undetected unsafe behavior in deployed AI systems,Incentivized AI forecasting and prediction systems,technical,0,0,42,0
12.0,28.0,Catastrophic risks from misaligned advanced AI,International treaty banning autonomous weapons,governance,0,0,28,0
1.0,21.0,Malicious misuse of frontier AI for large-scale harm,Formal Verification for Pre-Deployment AI Safety,technical,0,0,43,0
11.0,28.0,Misforecasted AI Timelines Undermining Safety Preparedness,International treaty banning autonomous weapons,governance,0,0,28,0
37.0,0.0,AI-driven labor displacement and socioeconomic instability,Training-time regularization for robust generalization,technical,0,0,26,0
38.0,2.0,Catastrophic AGI Misalignment Risk,MCTS-Guided RL Planning and Training,technical,0,0,46,0
18.0,29.0,Catastrophic Superintelligent AI Misalignment,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,47,0
38.0,13.0,Catastrophic AGI Misalignment Risk,Multi-objective recommender ranking with safety penalties,technical,0,0,48,0
7.0,9.0,Human extinction from misaligned superintelligent AI,Choose robust model architectures at design time,technical,0,0,48,0
33.0,26.0,AI-driven personal data privacy breaches,Reward-guided RL fine-tuning with safety constraints,technical,0,0,19,0
29.0,26.0,AI-driven wealth and power concentration,Reward-guided RL fine-tuning with safety constraints,technical,0,0,19,0
26.0,21.0,Misaligned AGI existential catastrophe,Formal Verification for Pre-Deployment AI Safety,technical,0,0,62,0
26.0,36.0,Misaligned AGI existential catastrophe,Robustness-Oriented Training Data Augmentation,technical,0,0,86,0
21.0,9.0,Catastrophic AI misalignment and loss of control,Choose robust model architectures at design time,technical,0,0,87,0
23.0,32.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Attainable Utility Preservation reward penalty,technical,0,0,12,0
5.0,27.0,Compute and data inefficiency in AI training,KL-Regularized RLHF Fine-Tuning,technical,0,0,12,0
25.0,9.0,Misaligned Superintelligent AI Existential Risk,Choose robust model architectures at design time,technical,0,0,96,0
30.0,2.0,Existential catastrophe and human extinction risks,MCTS-Guided RL Planning and Training,technical,0,0,12,0
37.0,13.0,AI-driven labor displacement and socioeconomic instability,Multi-objective recommender ranking with safety penalties,technical,0,0,11,0
2.0,36.0,AI arms race causing unsafe deployment,Robustness-Oriented Training Data Augmentation,technical,0,0,33,0
26.0,9.0,Misaligned AGI existential catastrophe,Choose robust model architectures at design time,technical,0,0,101,0
7.0,25.0,Human extinction from misaligned superintelligent AI,Explainable decision support with uncertainty and counterfactuals,technical,0,0,102,0
0.0,37.0,Out-of-distribution generalization failure,ROME-based factual knowledge editing,technical,0,0,11,0
23.0,38.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Incentivized AI forecasting and prediction systems,technical,0,0,11,0
32.0,0.0,AI shutdown resistance and control loss,Training-time regularization for robust generalization,technical,0,0,11,0
30.0,18.0,Existential catastrophe and human extinction risks,Critique-guided fine-tuning and human feedback,technical,0,0,10,0
24.0,21.0,Objective Misspecification and Misaligned Optimization,Formal Verification for Pre-Deployment AI Safety,technical,0,0,10,0
29.0,32.0,AI-driven wealth and power concentration,Attainable Utility Preservation reward penalty,technical,0,0,10,0
3.0,36.0,Opaque Transformer Reasoning Undermines Safety Oversight,Robustness-Oriented Training Data Augmentation,technical,0,0,10,0
28.0,29.0,Algorithmic discrimination in high-stakes decisions,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,9,0
30.0,36.0,Existential catastrophe and human extinction risks,Robustness-Oriented Training Data Augmentation,technical,0,0,9,0
30.0,31.0,Existential catastrophe and human extinction risks,Human-AI collaboration tools for skill building,technical,0,0,9,0
4.0,28.0,Unsafe and Sample-Inefficient RL Exploration,International treaty banning autonomous weapons,governance,0,0,9,0
30.0,9.0,Existential catastrophe and human extinction risks,Choose robust model architectures at design time,technical,0,0,9,0
31.0,29.0,Undetected unsafe behavior in deployed AI systems,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,9,0
5.0,29.0,Compute and data inefficiency in AI training,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,9,0
7.0,22.0,Human extinction from misaligned superintelligent AI,Deployment-time confidence filtering and rejection sampling,technical,0,0,9,0
11.0,36.0,Misforecasted AI Timelines Undermining Safety Preparedness,Robustness-Oriented Training Data Augmentation,technical,0,0,8,0
11.0,21.0,Misforecasted AI Timelines Undermining Safety Preparedness,Formal Verification for Pre-Deployment AI Safety,technical,0,0,12,0
34.0,9.0,Instrumental power-seeking by advanced AI agents,Choose robust model architectures at design time,technical,0,0,12,0
23.0,26.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Reward-guided RL fine-tuning with safety constraints,technical,0,0,18,0
38.0,0.0,Catastrophic AGI Misalignment Risk,Training-time regularization for robust generalization,technical,0,0,78,0
37.0,39.0,AI-driven labor displacement and socioeconomic instability,Export controls on advanced AI hardware,governance,0,0,18,0
23.0,15.0,Engagement-Driven Recommendation Manipulates and Polarizes Users,Pre-deployment mechanistic interpretability audits,governance,0,0,18,0
18.0,0.0,Catastrophic Superintelligent AI Misalignment,Training-time regularization for robust generalization,technical,0,0,64,0
15.0,36.0,Opaque AI decision-making undermines oversight and safety,Robustness-Oriented Training Data Augmentation,technical,0,0,18,0
27.0,0.0,Uncontrolled Recursive Self-Improvement Explosion,Training-time regularization for robust generalization,technical,0,0,18,0
17.0,2.0,Adversarial Image Classification Misclassification,MCTS-Guided RL Planning and Training,technical,0,0,18,0
27.0,29.0,Uncontrolled Recursive Self-Improvement Explosion,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,18,0
30.0,27.0,Existential catastrophe and human extinction risks,KL-Regularized RLHF Fine-Tuning,technical,0,0,18,0
29.0,38.0,AI-driven wealth and power concentration,Incentivized AI forecasting and prediction systems,technical,0,0,17,0
25.0,36.0,Misaligned Superintelligent AI Existential Risk,Robustness-Oriented Training Data Augmentation,technical,0,0,64,0
30.0,23.0,Existential catastrophe and human extinction risks,Human-aware predictive robot control and safety planning,technical,0,0,16,0
7.0,37.0,Human extinction from misaligned superintelligent AI,ROME-based factual knowledge editing,technical,0,0,16,0
37.0,17.0,AI-driven labor displacement and socioeconomic instability,Runtime control and coordination modules,technical,0,0,16,0
18.0,28.0,Catastrophic Superintelligent AI Misalignment,International treaty banning autonomous weapons,governance,0,0,15,0
3.0,29.0,Opaque Transformer Reasoning Undermines Safety Oversight,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,0,15,0
37.0,36.0,AI-driven labor displacement and socioeconomic instability,Robustness-Oriented Training Data Augmentation,technical,0,0,15,0
38.0,12.0,Catastrophic AGI Misalignment Risk,Pre-deployment bias auditing and fairness mitigation,governance,0,0,15,0
33.0,38.0,AI-driven personal data privacy breaches,Incentivized AI forecasting and prediction systems,technical,0,0,15,0
17.0,28.0,Adversarial Image Classification Misclassification,International treaty banning autonomous weapons,governance,0,0,14,0
38.0,25.0,Catastrophic AGI Misalignment Risk,Explainable decision support with uncertainty and counterfactuals,technical,0,0,69,0
8.0,36.0,Human-AI Coordination Failure in Shared Environments,Robustness-Oriented Training Data Augmentation,technical,0,0,14,0
7.0,2.0,Human extinction from misaligned superintelligent AI,MCTS-Guided RL Planning and Training,technical,0,0,71,0
31.0,11.0,Undetected unsafe behavior in deployed AI systems,Public AI risk outreach and educational dissemination,field-building,0,0,73,0
17.0,37.0,Adversarial Image Classification Misclassification,ROME-based factual knowledge editing,technical,0,0,13,0
25.0,21.0,Misaligned Superintelligent AI Existential Risk,Formal Verification for Pre-Deployment AI Safety,technical,0,0,74,0
8.0,22.0,Human-AI Coordination Failure in Shared Environments,Deployment-time confidence filtering and rejection sampling,technical,0,0,1,0
